;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nome Demanda;PROJETO;DEPÓSITO;DEP.;X;CÓDIGO;Descrição;UNID;MÊS;Qtd;MES;SEMANA;OBSERVAÇÃO;ESPECÍFICO?;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110487;LACO LATERAL PREF CAA E CA 1/0AWG DUPLO;UN;01/08/2026;6;8;31/2026;;;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110555;PARAFUSO OLH AC 16MM 5/8P 475MM;CX;01/01/2026;15;1;1/2026;;;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110555;CORDOALHA AC 6,3MM 1/4P 7F;CX;01/10/2026;15;10;40/2026;;;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110557;PARAFUSO OLH AC 16MM 5/8P 475MM;CX;01/01/2026;15;1;1/2026;;;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110557;CORDOALHA AC 6,3MM 1/4P 7F;CX;01/10/2026;15;10;40/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;110649;CONECTOR CUNHA AL 4/0(2) AWG;CX;01/03/2026;10;3;10/2026;;-;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110649;POSTE FIBRA VIDRO E-CR 13M 400DAN;CX;01/01/2026;15;1;1/2026;;;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110649;CORDOALHA AC 6,3MM 1/4P 7F;CX;01/10/2026;15;10;40/2026;;;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110690;CRUZETA POL FBV/RES PES 2400X112,5X90MM;UN;01/01/2026;20;1;1/2026;;;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110690;CABO ELET CU 120MM2 90°XLPE 0,6/1KV;UN;01/10/2026;20;10;40/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;110708;CONECTOR CUNHA AL 4/0(2) AWG;UN;01/03/2026;10;3;10/2026;;-;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;110713;ALCA PREFORM DIST CAA/CA 2/0AWG 70MM2;UN;01/03/2026;2;3;10/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;110713;MED EL 2E 3F 120V 120A GD B;UN;01/05/2026;5;5;18/2026;;;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110719;CRUZETA POL FBV/RES PES 2400X112,5X90MM;UN;01/01/2026;20;1;1/2026;;;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110719;CABO ELET CU 120MM2 90°XLPE 0,6/1KV;UN;01/10/2026;20;10;40/2026;;;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110730;SUPORTE HORIZONTAL;UN;01/01/2026;1;1;1/2026;;;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110730;EMENDA PREF COND AL 2/0 AWG 1016MM;UN;01/09/2026;4;9;36/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;110841;FITA ISOL EPR 0,76X19MM 10M PT;UN;01/03/2026;40;3;10/2026;;-;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;110960;ARRUELA LIS QD AC 17MM 11/16 57X57MM 5MM;UN;01/06/2026;4;6;23/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;111059;GRAMPO LV OLHAL 18MM 10-120/10-70MM2;UN;01/05/2026;1;5;18/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;111352;PARAFUSO CAB ABA PESC QD AC 16MM 70MM;UN;01/06/2026;5;6;23/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;111453;CONECTOR PERF AL 16-120MM2 / 16-120MM2;UN;01/06/2026;10;6;23/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;111596;CONECTOR PERF AL 16-120MM2 / 16-120MM2;UN;01/06/2026;10;6;23/2026;;ESPECÍFICO;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais 2026 - DPM_REV4;A40_INSPEÇÃO_UCS;CUSTEIO;DPM;;111811;SUPORTE TRANSF POSTE DUP T AC 210X115MM;UN;01/01/2026;1;1;1/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;112008;CINTA POSTE CIRC ACO 160MM;L;01/01/2026;10;1;1/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;112008;CONECTOR CUNHA AL 4/0(2) AWG;L;01/03/2026;10;3;10/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;112008;CONECTOR PERF AL 16-120MM2 / 16-120MM2;L;01/05/2026;10;5;18/2026;;-;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;112008;CINTA POSTE CIRC ACO 180MM;L;01/07/2026;20;7;27/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;112008;CINTA POSTE CIRC ACO 180MM;L;01/09/2026;20;9;36/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;112008;OLHAL PARAFUSO AC 16MM 5000DAN;L;01/02/2026;30;2;6/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;112008;OLHAL PARAFUSO AC 16MM 5000DAN;L;01/04/2026;30;4;14/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;112008;CABO  MULT 3X120+1X70MM² XLPE 0,6/1 KV;L;01/06/2026;30;6;23/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;112008;MED EL 3E 4F 120V 120A GD B;L;01/08/2026;40;8;31/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;112008;MED EL 3E 4F 120V 120A GD B;L;01/10/2026;40;10;40/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;112065;CONECTOR CUNHA AL 4/0(2) AWG;UN;01/03/2026;10;3;10/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;112066;CONECTOR CUNHA AL 4/0(2) AWG;CX;01/03/2026;10;3;10/2026;;-;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;112066;POSTE FIBRA VIDRO E-CR 13M 400DAN;CX;01/01/2026;15;1;1/2026;;;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;112066;CORDOALHA AC 6,3MM 1/4P 7F;CX;01/10/2026;15;10;40/2026;;-;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;112068;POSTE FIBRA VIDRO E-CR 13M 400DAN;CX;01/01/2026;15;1;1/2026;;;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;112068;CORDOALHA AC 6,3MM 1/4P 7F;CX;01/10/2026;15;10;40/2026;;;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;112104;BRACO SUPORTE TIPO C 580X365MM 851/6;UN;01/10/2026;10;10;40/2026;;-;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;112104;CRUZETA POL FBV/RES PES 2400X112,5X90MM;UN;01/01/2026;20;1;1/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;112242;CONECTOR CUNHA AL 4/0(2) AWG;CX;01/03/2026;10;3;10/2026;;;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;112242;POSTE FIBRA VIDRO E-CR 13M 400DAN;CX;01/01/2026;15;1;1/2026;;;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;112242;CORDOALHA AC 6,3MM 1/4P 7F;CX;01/10/2026;15;10;40/2026;;;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;112331;"TRAFO CRTE 0,6KV 400-5A; 0,3C12,5 BARRA";UN;01/02/2026;20;2;6/2026;;;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;112331;CINTA POSTE CIRC ACO 180MM;UN;01/08/2026;20;8;31/2026;;;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais 2026 - DPM_REV4;A40_INSPEÇÃO_UCS;CUSTEIO;DPM;;113893;SUPORTE TRANSF POSTE DUP T AC 210X115MM;UN;01/01/2026;1;1;1/2026;;;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;120099;CINTA POSTE ACO 290MM;UN;01/01/2026;2;1;1/2026;;;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;120117;LACO PREF ROLD CA 336,4 MCM LARANJA;UN;01/01/2026;16;1;1/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;120117;MED IN 3E 4F 120V 100A SMC DR B;UN;01/05/2026;48;5;18/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;120144;POSTE CONCRETO TRON CON 13M 600DAN;UN;01/05/2026;8;5;18/2026;;;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;120226;CONECTOR DER CUNHA AL 2AWG 1/0AWG;UN;01/01/2026;3;1;1/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;120226;CONECTOR COMP DER 4/0AWG 3/0-4/0AWG;UN;01/05/2026;12;5;18/2026;;;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;120366;SUPORTE Z AC REDE COMPACTA 400 DAN;UN;01/03/2026;6;3;10/2026;;;;;;;;;;;;;;;;;;;;;;;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;120366;LACO LATERAL PREF CAA E CA 1/0AWG DUPLO;UN;01/08/2026;6;8;31/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;A08_MANUT_REDMAN;INVESTIMENTO;DTM;;400011;CONECTOR ATERR REFORÇ HAST/CAB 5/8-35MM2;UN;01/01/2026;4;1;1/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;A08_MANUT_REDMAN;INVESTIMENTO;DTM;;400011;CONECTOR ATERR REFORÇ HAST/CAB 5/8-35MM2;UN;01/02/2026;4;2;6/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;A08_MANUT_REDMAN;INVESTIMENTO;DTM;;400011;ELO FUSIVEL BOTAO DISTRIB H 5A 500MM;UN;01/03/2026;4;3;10/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;A08_MANUT_REDMAN;INVESTIMENTO;DTM;;400011;ELO FUSIVEL BOTAO DISTRIB H 5A 500MM;UN;01/04/2026;4;4;14/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;A08_MANUT_REDMAN;INVESTIMENTO;DTM;;400011;CABO ELETRICO ISOLADO SINGELO 6MM2;UN;01/05/2026;4;5;18/2026;;;;;;;;;;;;;;;;;;;;;;;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;A08_MANUT_REDMAN;INVESTIMENTO;DTM;;400011;ARRUELA LIS QD AC 17MM 11/16 57X57MM 5MM;UN;01/06/2026;4;6;23/2026;;;;;;;;;;;;;;;;;;;;;;;;;
R3 DEMANDA 2026-2035 27-11 SUPORTE L;A32_INSTALAÇÃO_D;INVESTIMENTO;DTE;;400011;CONECTOR DER CUNHA AM AL 4/0AWG 336,4MCM;UN;01/07/2026;4;7;27/2026;;;;;;;;;;;;;;;;;;;;;;;;;
R3 DEMANDA 2026-2035 27-11 SUPORTE L;A32_INSTALAÇÃO_D;INVESTIMENTO;DTE;;400011;EMENDA PREF COND AL 2/0 AWG 1016MM;UN;01/09/2026;4;9;36/2026;;;;;;;;;;;;;;;;;;;;;;;;;
R3 DEMANDA 2026-2035 27-11 SUPORTE L;A36_AQUISIC_SIST;INVESTIMENTO;DTE;;400011;POSTE CONCRETO DUPLO T 9M 1000DAN;UN;01/02/2026;6;2;6/2026;;;;;;;;;;;;;;;;;;;;;;;;;
